Oklahoma Native Plant Record	2379-4011
SPAFA Journal	2586-8721
Southeast Asian Review of English	0127-046X
Journal of Ocean Engineering and Technology	2287-6715
KDI Journal of Economic Policy	2586-4130
Hydrological Research Letters	1882-3416
Acta Electronica Malaysia	2590-4043
The Korean Journal of Helicobacter and Upper Gastrointestinal Research	1738-3331
Kosin Medical Journal	2586-7024
Open Information Science	2451-1781
Actualidades Biológicas	0304-3584
RILEM Technical Letters	2518-0231
Khyber Medical University Journal	2305-2651
Revista de Educación y Derecho	2013-584X
Epigenetics Insights	2516-8657
International Journal of Strategic Property Management	1648-715X
Journal of the Global Power and Propulsion Society	2515-3080
Jurnal Ilmiah Hubungan Internasional	2406-8748
Sustinere: Journal of Environment and Sustainability	2549-1253
Analisa	2621-7120
???????? ???????????	2534-8434
Cuadernos de Filología Italiana	1133-9527
Revista de Filología Románica	0212-999X
????? o????????	1028-4427
Paix et Sécurité Internationales	2341-0868
Educação em Foco	1519-3322
??????? ?????????: ??????? ?????? ? ???????? ??????????	2413-9998
Technological and Economic Development of Economy	2029-4913
?nsan & Toplum	2146-7099
Journal of Civil Engineering and Management	1392-3730
Cadernos de Pós-graduação	2525-3514
ISCC (Indonesian Journal of Cancer Chemoprevention)	2355-8989
Open Journal of Mathematical Sciences	2523-0212
Jurnal Riset Industri Hasil Hutan	2503-0779
Motricidades	2594-6463
Revista Interdisciplinar de Direito	1518-8167
???????? ????????	0023-2130
BiblioCanto	2447-7842
Revista Acadêmica da Faculdade Fernão Dias	2358-9140
Aviation	1648-7788
??????? ?????????	2588-3860
Jurnal Kependidikan: Penelitian Inovasi Pembelajaran	2580-5525
Actividad Física y Ciencias	2244-7318
Journal of Environmental Engineering and Landscape Management	1648-6897
Journal of Vibroengineering	1392-8716
Revista Relaciones Internacionales	1018-0583
LINK	2461-1077
SVU-International Journal of Veterinary Sciences	2535-1877
Australian Journal of Applied Linguistics	2209-0959
Vision Pan-America	2219-4673
Review of European and Russian Affairs	1718-4835
Tracés	1963-1812
Indonesian EFL Journal	2541-3635
Journal of Arts and Social Sciences	2522-2279
Revista Brasileira de Climatologia	1980-055X
Revista Chilena de Entomología	0034-740X
Politai	2219-4142
Nuevo Itinerario	1850-3578
Antiviral Chemistry & Chemotherapy	2040-2066
Tumor Biology	1423-0380
Arab Journal of Basic and Applied Sciences	2576-5299
Forest Science and Technology	2158-0715
Food and Agricultural Immunology	1465-3443
???????????? ???????? ?????????? ??????????? ? ??????????	1815-5235
Gelecek Vizyonlar Dergisi	2602-4225
Journal of Tourismology	2459-1939
Türk Uyku T?bb? Dergisi	2148-1504
International Journal of Agriculture, Environment and Food Sciences	2602-246X
European Journal of Materials Science and Engineering	2537-4338
BMJ Global Health	2059-7908
ESMO Open	2059-7029
International Journal of Transportation Engineering	2538-3728
Regional Journal of Information and Knowledge Management	2412-6535
INDEX Revista de Arte Contemporáneo	1390-4825
Revista CIS	0719-2169
?????????? ? ??????? ??????????	2077-7264
Journal of Educational and Psychological Studies	2521-7046
International Journal of Immunopathology and Pharmacology	2058-7384
Trauma Surgery & Acute Care Open	2397-5776
BMJ Paediatrics Open	2399-9772
BMJ Open Ophthalmology	2397-3269
Pulmonary Circulation	2045-8940
npj Clean Water	2059-7037
Scars, Burns & Healing	2059-5131
Women's Health	1745-5065
Toxicology Research and Application	2397-8473
Translational Research in Oral Oncology	2057-178X
International Journal of Agricultural Sciences	2598-1145
JGH Open	2397-9070
AIMS Mathematics	2473-6988
Conexões	1516-4381
Journal of Marketing and Consumer Behaviour in Emerging Markets	2449-6634
Designs	2411-9660
Tefsir Ara?t?rmalar? Dergisi	2587-0882
Journal of Business Economics and Management	1611-1699
Didacticae	2462-2737
Geodesy and Cartography	2029-6991
Journal for Peace and Nuclear Disarmament	2575-1654
Development Studies Research	2166-5095
Automatika	1848-3380
Medical Science Pulse	2544-1558
Research Journal of the University of Gda?sk: Transport Economics and Logistics	2544-3224
Cogent Mathematics & Statistics	2574-2558
Quaderni Veneti	1724-188X
Il Tolomeo	1594-1930
Educazione Linguistica Language Education	2280-6792
Onychium	1824-2669
Archivio d’Annunzio	2421-4213
Annali di Ca’ Foscari. Serie Occidentale	2499-2232
Australian and New Zealand Journal of Public Health	1753-6405
Novecento Transnazionale	2532-1994
Therapeutic Advances in Ophthalmology	2515-8414
Sicurezza Terrorismo e Società	2421-4442
Quaderni di Scienze Politiche	2532-5302
Encounters in Theory and History of Education	2560-8371
Warta Ardhia: Jurnal Perhubungan Udara	2528-4045
Jurnal Borneo Administrator: Media Pengembangan Paradigma dan Gaya Baru Manajemen Pemerintahan Daerah	2407-6767
Cyberspace Studies	2588-5502
J-MKLI (Jurnal Manajemen dan Kearifan Lokal Indonesia)	2550-0856
Journal of Dentistry	2345-6418
Revista Latinoamericana en Discapacidad, Sociedad y Derechos Humanos	2525-1643
International Journal of Medical Sciences	1449-1907
Australian Prescriber	1839-3942
Strategi?eskie Rešeniâ i Risk-Menedžment	2618-947X
Emerging Perspectives	2560-6980
PODIUM	1390-5473
Ensayos Revista de Economía	1870-221X
Revista de Historia Moderna	0212-5862
Animal Models and Experimental Medicine	2576-2095
Journal of Accounting and Finance in Emerging Economies	2518-8488
European Journal of Microbiology & Immunology	2062-8633
Periodica Polytechnica: Mechanical Engineering	1587-379X
Jentera: Jurnal Kajian Sastra	2579-8138
Revista Ciência em Extensão	1679-4605
Journal of Artificial Intelligence and Data Mining	2322-4444
Les Cahiers de Framespa	1760-4761
International Journal of Biological Sciences	1449-2288
Middle Grades Review	2379-4690
Journal of Public Interest Communications	2573-4342
The Journal of Health Design	2206-785X
??I ???: ???????????? ????????????	2500-1582
Turismo y Patrimonio	1680-9556
Legado de Arquitectura y Diseño	2007-3615
Revista Linguística	1808-835X
Inciso	1794-1598
Ágora de Heterodoxias	2443-4361
Cuadernos de Documentación Multimedia	1575-9733
Biomedicinska istraživanja	1986-8529
Current Developments in Nutrition	2475-2991
BJPsych Bulletin	2056-4708
BJPsych Open	2056-4724
????????????????	2309-1797
Cuadernos de Gestión	1131-6837
Stomatološki glasnik Srbije	0039-1743
Sestrinska re?	0354-8422
Biotechnology in Animal Husbandry	1450-9156
Zbornik Radova: Geografski Fakultet Univerziteta u Beogradu	1450-7552
??? ????? ???? ??????	1608-7070
???? ?????	2383-0689
Retorika	2301-4768
Gondang: Jurnal Seni dan Budaya	2599-0594
DIN	1501-9934
Radiography Open	2387-3345
Kandai	1907-204X
Computational Psychiatry	2379-6227
ACC Journal	1803-9782
