Title;pISSN;eISSN;jcr;jcr2;doaj;doaj2;Reden;Link
Hepatobiliary Surgery and Nutrition;2304-3881;2304-389X;3;0;0;0;Publisher (AME) op lijst Bealls;1
Journal of Vibration and Acoustics;1048-9002;1528-8927;3;0;0;0;IADCES;0
British Journal of Neurosurgery;0268-8697;1360-046X;2;0;0;0;IADCES;0
IEEE Transactions on Information Forensics and Security;1556-6013;;2;/;0;/;Geen link gevonden;0
Journal of Energy Engineering;0733-9402;;2;/;0;/;IADCES;0
EURASIP Journal on Wireless Communications and Networking;1687-1499;1687-1499;2;2;0;0;Geen link gevonden;0
Obesity Reviews;1467-7881;1467-789X;1;0;0;0;Geen link gevonden;0
Frontiers in Bioscience (Landmark edition);1093-9946;1093-4715;2;0;0;0;Publisher (Frontiers in Bioscience) op lijst Bealls;1
Journal of Mechanisms and Robotics;1942-4302;1942-4310;2;0;0;0;IADCES;0
Obesity;1930-7381;1930-739X;2;0;0;0;Geen link gevonden;0
Biotechnology Journal;1860-6768;1860-7314;2;0;0;0;IADCES;0
Freshwater Science;2161-9549;2161-9565;2;0;0;0;IADCES;0
Pediatric Blood and Cancer;1545-5009;1545-5017;3;0;0;0;Geen link gevonden;0
Journal of Thoracic Disease;2072-1439;2077-6624;1;0;0;0;Publisher (AME) op lijst Bealls;1
Journal of Thrombosis and Haemostasis;1538-7933;1538-7836;2;0;0;0;Geen link gevonden;0
BJU International;1464-4096;1464-410X;1;0;0;0;Geen link gevonden;0
Journal of Athletic Training;1062-6050;1938-162X;1;0;0;0;Geen link gevonden;0
EMBO Journal;0261-4189;1460-2075;2;0;0;0;Geen link gevonden;0
Medicine & Science in Sports & Exercise;0195-9131;1530-0315;1;0;0;0;IADCES;0
Journal of Internal Medicine;0954-6820;1365-2796;1;0;0;0;Geen link gevonden;0
European Journal of Haematology;0902-4441;1600-0609;1;0;0;0;Geen link gevonden;0
Engineering Optimization;0305-215X;1029-0273;2;0;0;0;IADCES;0
Journal of Radiological Protection;0952-4746;1361-6498;4;0;0;0;IADCES;0
Smart Materials and Structures;0964-1726;1361-665X;2;0;0;0;IADCES;0
Journal of Pharmacy and Pharmacology;0022-3573;2042-7158;1;0;0;0;Geen link gevonden;0
Respirology;1323-7799;1440-1843;1;0;0;0;Geen link gevonden;0
Philosophy of Science;0031-8248;1539-767X;1;0;0;0;IADCES;0
Neurourology and Urodynamics;0733-2467;1520-6777;1;0;0;0;Geen link gevonden;0
Journal of Pathology;0022-3417;1096-9896;2;0;0;0;Geen link gevonden;0
APMIS;0903-4641;1600-0463;3;0;0;0;Geen link gevonden;0
Semiconductor Science and Technology;0268-1242;1361-6641;3;0;0;0;IADCES;0
Biotechnology and Bioengineering;0006-3592;1097-0290;1;0;0;0;IADCES;0
Transfusion;0041-1132;1537-2995;1;0;0;0;Geen link gevonden;0
Biotechnology Progress;8756-7938;1520-6033;2;0;0;0;IADCES;0
Medical Education;0308-0110;1365-2923;2;0;0;0;Geen link gevonden;0
Publications of the Astronomical Society of the Pacific;0004-6280;1538-3873;1;0;0;0;IADCES;0
Journal of Micromechanics and Microengineering;0960-1317;1361-6439;4;0;0;0;IADCES;0
Journal of Biomechanical Engineering;0148-0731;1528-8951;2;0;0;0;IADCES;0
Applied Mechanics Reviews;0003-6900;2379-0407;1;0;0;0;IADCES;0
Journal of Clinical Pharmacology;0091-2700;1552-4604;1;0;0;0;Geen link gevonden;0
European Journal of Clinical Investigation;0014-2972;1365-2362;2;0;0;0;Geen link gevonden;0
British Journal of Clinical Pharmacology;0306-5251;1365-2125;1;0;0;0;IADCES;0
British Journal of Dermatology;0007-0963;1365-2133;1;0;0;0;IADCES;0
British Journal of Pharmacology;0007-1188;1476-5381;1;0;0;0;IADCES;0
British Journal of Surgery;0007-1323;1365-2168;1;0;0;0;IADCES;0
European Journal of Neurology;1351-5101;1468-1331;2;0;0;0;Geen link gevonden;0
European Journal of Oral Sciences;0909-8836;1600-0722;1;0;0;0;Geen link gevonden;0
Wireless Personal Communications;0929-6212;1572-834X;1;0;0;0;E-issn vroeger gelinkt aan Gyancity, nu onder Springer.;1
Transplant International;0934-0874;1432-2277;2;0;0;0;IADCES;0
British Journal of Haematology;0007-1048;1365-2141;1;0;0;0;IADCES;0
The British Journal of Psychiatry;0007-1250;1472-1465;1;0;0;0;IADCES;0
