Title20;ISO_ABBREV;TITLE;ISSN
J MED SYST;J. Med. Syst.;JOURNAL OF MEDICAL SYSTEMS;0148-5598
J MEMBRANE SCI;J. Membr. Sci.;JOURNAL OF MEMBRANE SCIENCE;0376-7388
J METAMORPH GEOL;J. Metamorph. Geol.;JOURNAL OF METAMORPHIC GEOLOGY;0263-4929
J MICRO-NANOLITH MEM;J. Micro-Nanolithogr. MEMS MOEMS;Journal of Micro-Nanolithography MEMS and MOEMS;1932-5150
J MICROELECTROMECH S;J. Microelectromech. Syst.;JOURNAL OF MICROELECTROMECHANICAL SYSTEMS;1057-7157
J MICROMECH MICROENG;J. Micromech. Microeng.;JOURNAL OF MICROMECHANICS AND MICROENGINEERING;0960-1317
J MIN METALL B;J. Min. Metall. Sect. B-Metall.;Journal of Mining and Metallurgy Section B-Metallurgy;1450-5339
APL MATER;APL Mater.;APL Materials;2166-532X
APPL ANAL DISCR MATH;Appl. Anal. Discret. Math.;Applicable Analysis and Discrete Mathematics;1452-8630
APPL BIOL CHEM;Appl. Biol. Chem.;Applied Biological Chemistry;2468-0834
APPL CLAY SCI;Appl. Clay Sci.;APPLIED CLAY SCIENCE;0169-1317
APPL ECON PERSPECT P;Appl. Econ. Perspect. Policy;Applied Economic Perspectives and Policy;2040-5790
APPL ENERG;Appl. Energy;APPLIED ENERGY;0306-2619
APPL IMMUNOHISTO M M;Appl. Immunohistochem.;APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY;1541-2016
APPL MICROBIOL BIOT;Appl. Microbiol. Biotechnol.;APPLIED MICROBIOLOGY AND BIOTECHNOLOGY;0175-7598
APPL PHYS A-MATER;Appl. Phys. A-Mater. Sci. Process.;APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING;0947-8396
APPL PHYS B-LASERS O;Appl. Phys. B-Lasers Opt.;APPLIED PHYSICS B-LASERS AND OPTICS;0946-2171
APPL PHYS B-LASERS O;Appl. Phys. B-Lasers Opt.;APPLIED PHYSICS B-LASERS AND OPTICS;0946-2171
INT T OPER RES;Int. Trans. Oper. Res.;International Transactions in Operational Research;0969-6016
INTEGR TRANSF SPEC F;Integral Transform. Spec. Funct.;INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS;1065-2469
INTELL AUTOM SOFT CO;Intell. Autom. Soft Comput.;INTELLIGENT AUTOMATION AND SOFT COMPUTING;1079-8587
INTERACT CARDIOV TH;Interact Cardiovasc. Thorac. Surg.;Interactive Cardiovascular and Thoracic Surgery;1569-9293
INTERDISCIPL SCI REV;Interdiscip. Sci. Rev.;INTERDISCIPLINARY SCIENCE REVIEWS;0308-0188
INTERFACES;Interfaces;INTERFACES;0092-2102
INVERSE PROBL;Inverse Probl.;INVERSE PROBLEMS;0266-5611
INVERSE PROBL IMAG;Inverse Probl. Imaging;Inverse Problems and Imaging;1930-8337
IRAN J BASIC MED SCI;Iran. J. Basic Med. Sci.;Iranian Journal of Basic Medical Sciences;2008-3866
IRAN J BIOTECHNOL;Iran. J. Biotechnol.;Iranian Journal of Biotechnology;1728-3043
IRAN J KIDNEY DIS;Iran. J. Kidney Dis.;Iranian Journal of Kidney Diseases;1735-8582
CHEM IND-LONDON;Chem. Ind.;CHEMISTRY & INDUSTRY;0009-3068
CHEM REC;Chem. Rec.;CHEMICAL RECORD;1527-8999
CHEM SENSES;Chem. Senses;CHEMICAL SENSES;0379-864X
CHEM UNSERER ZEIT;Chem. Unserer Zeit;CHEMIE IN UNSERER ZEIT;0009-2851
CHEM-US;Chem;Chem;2451-9294
CHEMOMETR INTELL LAB;Chemometrics Intell. Lab. Syst.;CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS;0169-7439
FRONT EARTH SCI-PRC;Front. Earth Sci.;Frontiers of Earth Science;2095-0195
FRONT HORM RES;Front.Horm.Res.;Frontiers of Hormone Research;0301-3073
FRONT INFORM TECH EL;Front. Inform. Technol. Elect. Eng.;Frontiers of Information Technology & Electronic Engineering;2095-9184
FRONT INFORM TECH EL;Front. Inform. Technol. Elect. Eng.;Frontiers of Information Technology & Electronic Engineering;2095-9184
FRONT LIFE SCI;Front. Life Sci.;Frontiers in Life Science;2155-3769
FRONT NEUROROBOTICS;Front. Neurorobotics;Frontiers in Neurorobotics;1662-5218
FRONT PHARMACOL;Front. Pharmacol.;Frontiers in Pharmacology;1663-9812
FUEL PROCESS TECHNOL;Fuel Process. Technol.;FUEL PROCESSING TECHNOLOGY;0378-3820
FULLER NANOTUB CAR N;Fuller. Nanotub. Carbon Nanostruct.;FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES;1536-383X
FULLER NANOTUB CAR N;Fuller. Nanotub. Carbon Nanostruct.;FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES;1536-383X
FUNGAL ECOL;Fungal Ecol.;Fungal Ecology;1754-5048
FUSION SCI TECHNOL;Fusion Sci. Technol.;FUSION SCIENCE AND TECHNOLOGY;1536-1055
GAIT POSTURE;Gait Posture;GAIT & POSTURE;0966-6362
GASTRIC CANCER;Gastric Cancer;Gastric Cancer;1436-3291
AGR FOREST METEOROL;Agric. For. Meteorol.;AGRICULTURAL AND FOREST METEOROLOGY;0168-1923
AGRON SUSTAIN DEV;Agron. Sustain. Dev.;Agronomy for Sustainable Development;1774-0746
AIAA J;AIAA J.;AIAA JOURNAL;0001-1452
AIDS;Aids;AIDS;0269-9370
