Title	1.2 Titles[2]	2.1 ISSNs[1]	2.2 ISSNs[2]	3.1 Additional searchable ISSN (Electronic)[1]	jcr	jcr2	doaj	doaj2
Hepatobiliary Surgery and Nutrition		2304-3881		2304-389X	3	0	0	0
Modern Economy		2152-7245		2152-7261	0	0	0	0
Advances in Anthropology		2163-9353		2163-9361	0	0	0	0
World Academy of Science, Engineering and Technology		2010-376X		2010-3778	0	0	0	0
American Journal of Industrial and Business Management		2164-5167		2164-5175	0	0	0	0
International Journal of Geosciences	International Journal of Geosciences (IJG)	2156-8359		2156-8367	0	0	0	0
Journal of Arts and Humanities	JAH	2167-9045		2167-9053	0	0	0	0
International Journal of Design & Nature and Ecodynamics		1755-7437		1755-7445	0	0	0	0
Energy and Power Engineering		1947-3818	1949-243X	1947-3818	0	0	0	0
International Journal of Humanities and Social Science		2220-8488		2221-0989	0	0	0	0
Sensors & Transducers Journal		2306-8515		1726-5479	0	0	1	0
International Journal of Renewable Energy Research		1309-0127		1309-0127	0	0	0	0
Annals of Cardiothoracic Surgery	Ann Cardiothorac Surg	2225-319X		2304-1021	0	0	0	0
International Proceedings of Chemical, Biological & Environmenta	Int Proc Chem Biol Environ Eng	2010-4618		2010-4618	0	0	0	0
Oncotarget		1949-2553		1949-2553	0	0	0	0
Journal of Vibration and Acoustics		1048-9002		1528-8927	3	0	0	0
The European Journal of Social & Behavioural Sciences		2301-2218		2301-2218	0	0	0	0
Oncoscience		2331-4737		2331-4737	0	0	0	0
British Journal of Neurosurgery		0268-8697		1360-046X	2	0	0	0
International Business & Economics Research Journal	International Business & Economics Research Journal (IBER)	1535-0754		2157-9393	0	0	0	0
British Journal of Political Science		0007-1234		1469-2112	0	0	0	0
The Open Orthopaedics Journal	Open Orthop J	1874-3250		1874-3250	0	0	0	0
ARPN Journal of Systems and Software		2222-9833			0		0	
Transaction on Electrical and Electronic Circuits and Systems		2345-234X			0		0	
Global Advanced Research Journal of Medicine and Medical Science		2315-5159			0		0	
