1.1 Titles[1];1.2 Titles[2];2.1 ISSNs[1];2.2 ISSNs[2];3.1 Additional searchable ISSN (Electronic)[1];5 Id
Hepatobiliary Surgery and Nutrition;;2304-3881;;2304-389X;4832862
Modern Economy;;2152-7245;;2152-7261;35730169
Advances in Anthropology;;2163-9353;;2163-9361;30907716
World Academy of Science, Engineering and Technology;;2010-376X;;2010-3778;1962961
American Journal of Industrial and Business Management;;2164-5167;;2164-5175;37307747
International Journal of Geosciences;International Journal of Geosciences (IJG);2156-8359;;2156-8367;767325
Journal of Arts and Humanities;JAH;2167-9045;;2167-9053;31315168
International Journal of Design & Nature and Ecodynamics;;1755-7437;;1755-7445;767097
Energy and Power Engineering;;1947-3818;1949-243X;1947-3818;756211
International Journal of Humanities and Social Science;;2220-8488;;2221-0989;767405
Sensors & Transducers Journal;;2306-8515;;1726-5479;793724
International Journal of Renewable Energy Research;;1309-0127;;1309-0127;764875
Annals of Cardiothoracic Surgery;Ann Cardiothorac Surg;2225-319X;;2304-1021;740417
International Proceedings of Chemical, Biological & Environmenta;Int Proc Chem Biol Environ Eng;2010-4618;;2010-4618;838097
Oncotarget;;1949-2553;;1949-2553;785381
Journal of Vibration and Acoustics;;1048-9002;;1528-8927;773326
The European Journal of Social & Behavioural Sciences;;2301-2218;;2301-2218;795845
Oncoscience;;2331-4737;;2331-4737;27700178
British Journal of Neurosurgery;;0268-8697;;1360-046X;23233491
International Business & Economics Research Journal;International Business & Economics Research Journal (IBER);1535-0754;;2157-9393;766568
British Journal of Political Science;;0007-1234;;1469-2112;19950125
The Open Orthopaedics Journal;Open Orthop J;1874-3250;;1874-3250;29136752
ARPN Journal of Systems and Software;;2222-9833;;;740623
Transaction on Electrical and Electronic Circuits and Systems;;2345-234X;;;798795
Global Advanced Research Journal of Medicine and Medical Science;;2315-5159;;;6319444
Journal Advances in Social Sciences and Humanities;IJASSH;2347-7474;;;773552
British Journal of Medicine and Medical Research;;2231-0614;;;31348369
International Journal of Health Sciences and Research;;2249-9571;;;6319589
International Journal of Information and Education Technology;Int J Inf Educ Techno;2010-3689;;;767467
Asian Journal of Humanities and Social Studies;;2321-2799;;;32635332
Journal of Emerging Trends in Computing and Information Sciences;;2079-8407;;;775404
Dialogue and Universalism;;1234-5792;;;754348
Geron, tijdschrift vooroudern worden en maatschappij;;1234-567X;;;761654
IEEE Transactions on Information Forensics and Security;;1556-6013;;;30340609
Journal of Energy Engineering;Journal of Energy Engineering - ASCE.;0733-9402;;;775438
The Open Dermatology Journal;Open Dermatol J;1874-3722;;;27863970
Journal of Industrial and Intelligent Information;;2301-3745;;;5498861
EURASIP Journal on Wireless Communications and Networking; EURASIP J Wirel Commun Netw;1687-1499;1687-1472;1687-1499;755143
Obesity Reviews;Obes Rev;1467-7881;1467-789X;1467-789X;785147
Frontiers in Bioscience (Landmark edition);Front Biosci (Landmark Ed);1093-9946;;1093-4715;24705799
International Journal of Intelligent Systems and Applications(IJISA);;2074-904X;;2074-9058;767497
Translational Pediatrics;Transl Pediatr;2224-4336;;2224-4344;30727125
Journal of Mechanisms and Robotics;;1942-4302;;1942-4310;776606
Obesity;;1930-7381;;1930-739X;785129
Biotechnology Journal;Biotechnol J;1860-6768;;1860-7314;28366496
Freshwater Science;Freshw Sci;2161-9549;;2161-9565;760844
International Journal of Safety and Security Engineering ;Int.J. of Safety and Security Eng;2041-9031;;2041-904X;766274
Pediatric Blood and Cancer;Pediatr Blood Cancer;1545-5009;;1545-5017;787003
IOP Conference Series: Materials Science and Engineering;;1757-8981;;1757-899X;764928
Journal of Thoracic Disease;J Thorac Dis;2072-1439;1817-1737;2077-6624;25061837
Journal of Thrombosis and Haemostasis;J Thromb Haemost;1538-7933;;1538-7836;778240
BJU International;BJU Int;1464-4096;;1464-410X;745759
Investment Management and Financial Innovations;;1810-4967;;1812-9358;768749
Journal of Athletic Training;J Athl Training;1062-6050;;1938-162X;772777
Journal of Engineering for Gas Turbines and Power-transactions of the ASME;Journal of Engineering for Gas Turbines and Power;1528-8919;0742-4795;;775450
Language and Literature;;0963-9470;;1461-7293;20941014
Transport Reviews;;0144-1647;;1464-5327;11767617
Medical Science Monitor;Med Sci Monit;1234-1010;;1643-3750;882222
Sport Sciences for Health;Sport Sci Health;1824-7490;;1825-1234;882747
EMBO Journal;;0261-4189;;1460-2075;754957
Research Journal of BioTechnology;;0973-6263;;2278-4535;25358922
Medicine & Science in Sports & Exercise;Med Sci Sports Exerc;0195-9131;;1530-0315;882244
