"issn","name","main.url","type","ind.url"
"1459-0255","WFL Publisher","http://world-food.net/","publisher","http://world-food.net/category/journals/"
"0195-9131","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1452-3981","International Journal of Electrochemical Science","http://www.electrochemsci.org/","ind_journal","http://www.electrochemsci.org/"
"2158-2742","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"1991-8178","Australian Journal of Basic and Applied Sciences","http://www.ajbasweb.com/","ind_journal","http://www.ajbasweb.com/"
"2158-2750","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"1743-3541","WIT Press","http://www.witpress.com/","publisher","https://www.witpress.com/elibrary/wit-transactions-on-ecology-and-the-environment"
"1459-0263","Journal of Food, Agriculture and Environment","http://world-food.net/products/scientific-journal-jfae/","ind_journal","http://world-food.net/products/scientific-journal-jfae/"
"0975-1491","Innovare Academic Sciences","http://innovareacademics.in/","publisher","https://innovareacademics.in/journals.php"
"1827-8620","PharmacologyOnline","http://pharmacologyonline.silae.it/front","ind_journal","http://pharmacologyonline.silae.it/front"
"1093-9946","Frontiers in Bioscience","https://www.bioscience.org/","publisher","https://www.bioscience.org/impact"
"0915-5287","Journal of Physical Therapy Science","https://www.jstage.jst.go.jp/browse/jpts","ind_journal","https://www.jstage.jst.go.jp/browse/jpts"
"2231-3354","Journal of Applied Pharmaceutical Science","http://www.japsonline.com/index.php","ind_journal","http://www.japsonline.com/index.php"
"2156-8251","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=3"
"1936-2625","e-Century Publishing Corporation","http://www.e-century.org/","publisher","http://www.e-century.org/instruction.html"
"2047-2528","Asian Journal of Business and Management Sciences","http://www.ajbms.org/index.php","ind_journal","http://www.ajbms.org/index.php"
"1542-8710","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"2010-3778","World Academy of Science, Engineering and Technology","http://www.waset.org/publications.php","publisher","http://www.waset.org/Publications"
"2156-8553","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"1546-2609","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"1874-2106","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/FULLTEXT/TODENTJ-11-247"
